0	0	19	
32	8	0	
0	0	19	
119	0	0	
41	3	0	
55	1	0	
119	0	0	
30	3	3	
53	2	0	
13	5	7	
17	1	9	
16	6	6	
0	1	18	
0	2	17	
7	3	11	
21	4	5	
12	4	8	
20	7	4	
5	6	11	
13	5	7	
15	0	10	
33	7	0	
45	1	1	
34	0	5	
45	1	1	
53	0	1	
18	2	7	
4	4	12	
6	4	11	
8	0	13	
1	0	18	
36	0	4	
9	2	11	
20	1	8	
1	2	16	
8	4	10	
0	2	17	
4	2	13	
7	5	10	
32	6	1	
34	0	5	
38	1	3	
15	2	9	
16	3	8	
4	0	16	
41	1	2	
31	1	4	
6	0	15	
2	4	14	
32	3	2	
5	3	12	
3	2	14	
14	7	6	
6	0	15	
41	0	3	
38	1	3	
36	2	2	
40	2	1	
10	0	12	
29	7	1	
5	3	12	
17	7	5	
33	7	0	
37	6	0	
22	5	4	
41	3	0	
37	6	0	
40	2	1	
11	3	9	
28	5	2	
26	7	2	
31	2	3	
25	3	5	
18	4	6	
21	2	6	
23	7	3	
27	0	6	
19	6	5	
3	1	15	
12	4	8	
2	0	17	
25	4	4	
24	0	7	
9	5	9	
26	7	2	
27	2	4	
19	6	5	
31	2	3	
14	1	11	
6	7	10	
14	7	6	
22	5	4	
23	0	8	
2	2	15	
3	2	14	
24	0	7	
28	5	2	
11	2	10	
33	7	0	
9	2	11	
14	7	6	
13	5	7	
6	7	10	
14	1	11	
