25	3	3	
21	2	3	
21	2	3	
11	1	4	
11	1	4	
11	1	4	
24	1	4	
24	1	4	
11	1	5	
24	1	5	
11	1	5	
11	0	8	
11	0	8	
6	0	9	
11	1	4	
8	2	4	
8	2	4	
8	2	4	
8	2	4	
7	1	4	
7	1	4	
7	1	5	
7	1	5	
7	1	6	
7	0	8	
6	0	9	
0	0	24	
7	1	4	
7	1	4	
7	1	5	
6	1	5	
6	1	5	
6	1	5	
5	1	5	
5	1	5	
5	1	6	
5	1	7	
5	1	13	
0	0	24	
6	1	5	
6	1	5	
6	1	5	
5	1	6	
5	1	6	
5	1	6	
5	1	6	
5	1	8	
5	1	11	
4	1	15	
0	0	24	
5	1	6	
5	1	6	
5	1	6	
5	1	6	
5	1	7	
5	1	8	
5	1	9	
4	1	12	
4	1	18	
0	0	24	
5	1	6	
5	1	7	
5	1	7	
5	1	8	
5	1	9	
5	1	11	
4	1	13	
4	1	18	
0	0	24	
5	1	7	
5	1	8	
5	1	6	
5	1	10	
4	1	12	
4	1	13	
3	1	23	
0	0	24	
5	1	8	
5	1	9	
5	1	11	
4	1	13	
4	1	14	
2	1	23	
0	0	24	
5	1	11	
4	1	12	
4	1	13	
4	1	15	
2	1	23	
0	0	25	
4	1	12	
4	1	14	
4	1	21	
2	1	23	
0	0	24	
4	1	15	
4	1	19	
2	1	23	
0	0	25	
2	1	23	
1	1	24	
0	0	24	
1	1	24	
0	0	24	
0	0	25	
